SH601106	2014-01-02	2014-06-30
SH601106	2015-07-01	2017-01-02
SH601106	2019-01-02	2026-09-03
SH601108	2018-07-02	2026-09-03
SH601111	2014-01-02	2026-09-03
SH601112	2026-07-01	2026-09-03
SH601117	2014-01-02	2017-01-02
SH601117	2017-07-03	2026-09-03
SH601118	2014-01-02	2018-07-01
SH601118	2019-07-01	2026-09-03
SH601126	2014-01-02	2017-01-02
SH601127	2017-01-03	2022-02-06
SH601127	2025-01-02	2026-09-03
SH601128	2018-01-02	2026-09-03
SH601136	2023-07-03	2024-01-01
SH601136	2025-01-02	2026-09-03
SH601138	2019-01-02	2026-09-03
SH601139	2014-01-02	2015-01-04
SH601139	2015-07-01	2016-06-30
SH601139	2019-07-01	2026-09-03
SH601155	2016-07-01	2026-09-03
SH601156	2022-02-07	2026-09-03
SH601158	2014-01-02	2016-06-30
SH601158	2023-04-03	2026-01-04
SH601162	2019-07-01	2026-09-03
SH601163	2017-07-03	2018-07-01
SH601166	2014-01-02	2026-09-03
SH601168	2014-01-02	2026-06-30
SH601169	2014-01-02	2026-09-03
SH601179	2014-07-01	2017-01-02
SH601179	2018-07-02	2026-09-03
SH601186	2014-01-02	2026-09-03
SH601187	2021-08-02	2024-06-30
SH601198	2016-01-04	2026-09-03
SH601200	2018-01-02	2023-04-02
SH601208	2014-01-02	2016-01-03
SH601211	2016-01-04	2026-09-03
SH601212	2018-01-02	2021-01-03
SH601212	2024-07-01	2026-09-03
SH601216	2014-01-02	2026-09-03
SH601225	2014-07-01	2026-09-03
SH601226	2015-07-01	2017-01-02
SH601228	2018-01-02	2026-09-03
SH601229	2017-07-03	2026-09-03
SH601231	2014-01-02	2016-06-30
SH601231	2017-01-03	2018-07-01
SH601231	2019-01-02	2022-06-30
SH601231	2023-04-03	2026-06-30
SH601233	2014-01-02	2019-01-01
SH601233	2020-01-02	2022-02-06
SH601233	2023-04-03	2026-09-03
SH601236	2020-01-02	2026-09-03
SH601238	2014-01-02	2015-01-04
SH601238	2016-01-04	2016-06-30
SH601238	2018-07-02	2026-09-03
